respondent_id,COUNTY,CITY,D3,D4_primary,D4,D2,Q65,D1,NEWS,SOCIAL,REGION_1,REGION_2,REGION_3,ReOUTLOOK,LIFESAS,LIFEWW,BELONGCOM,BELONGNEED,TRUST,Q7,Q8,Q56_breakfast,Q57_breakfast,Q56_lunch,Q57_lunch,Q56_dinner,Q57_dinner,Q10,Q11_day,Q11_night,HOUSING1,HOUSING2_1,HOUSING2_2,HOUSING2_3,HOUSING2_4
1384,Union,,5,Hispanic,2,4,4,28104,1,,2.0,1.0,4.0,2,10,10,2,10,8,2,4,4,0,7,1,6,2,3,5,2,9,6.0,1.0,3.0,
1882,Cabarrus,,4,White,1,1,2,28075,1,,8.0,1.0,7.0,2,3,2,3,5,5,1,1,3,1,4,1,6,3,4,4,3,6,5.0,1.0,,
4902,Anson,,2,Black,3,1,1,28170,1,,2.0,4.0,9.0,3,6,7,4,6,8,3,1,7,2,7,1,5,2,2,4,4,5,9.0,6.0,,
1525,Gaston,,4,White,1,6,3,28056,6,3.0,9.0,2.0,7.0,2,6,6,4,7,7,1,3,5,3,7,2,6,2,5,2,4,8,4.0,6.0,1.0,9.0
4655,Lancaster,,1,White,1,5,1,29714,3,,2.0,4.0,9.0,1,7,7,3,7,9,2,4,5,4,7,4,5,4,3,4,2,3,2.0,9.0,,
961,Mecklenburg,1.0,3,White,1,4,3,28211,6,3.0,3.0,9.0,6.0,3,7,7,3,8,10,1,1,6,4,7,1,6,3,1,3,5,7,1.0,8.0,,
432,Mecklenburg,2.0,2,Black,3,6,1,28211,1,,6.0,5.0,1.0,2,3,2,4,2,5,3,3,7,2,3,0,7,5,1,2,5,6,8.0,4.0,,
377,Mecklenburg,2.0,2,White,1,6,1,28282,1,,1.0,5.0,2.0,3,8,8,1,10,6,3,4,7,4,7,3,7,3,3,4,4,9,8.0,5.0,10.0,4.0
298,Mecklenburg,2.0,1,Black,3,3,1,28212,7,,4.0,7.0,,2,2,3,5,3,2,2,1,2,0,7,2,7,3,5,5,2,9,3.0,9.0,6.0,2.0
717,Mecklenburg,1.0,4,White,1,6,1,28282,2,,1.0,5.0,,3,7,8,5,8,5,3,2,6,2,7,4,7,5,4,4,5,9,3.0,5.0,,
